PNAME,LAT,LON,PLPFGNCT,ORISPL,Y2009,Y2007,Y2005,Y2004,Y2000,Y1999,Y1998,Y1997,Y1996
Buford,34.1625,-84.0756,HYDRO,759,133.74,120.643,208.652,106.595,83.475,91.978,248.435,179.922,230.82
Sewell Creek Energy,33.9486,-85.2769,GAS,7813,133.194,149.344,64.998,17.09,0,0,0,0,0
Tugalo,34.7133,-83.3519,HYDRO,725,131.357,50.423,147.51396,122.55395,63.169,82.612,131.342,120.457,127.026
Baconton Power Plant,31.3869,-84.0819,GAS,55304,106.647,32.716,15.678,1.489,61.9623,0,0,0,0
Interstate Paper LLC Riceboro,31.7428,-81.4194,BIOMASS,54281,105.533129,0,88.013,97.49417,92.1107,83.8662,82.5003,0,0
Walton County Power LLC,33.8147,-83.6969,GAS,55128,95.577,92.216,94.936,0.161,0,0,0,0,0
Lloyd Shoals,33.3206,-83.8419,HYDRO,712,77.315,34.667999,96.27894,86.08596,38.539,48.297,68.599,70.597,73.773
Hartwell Energy LP,34.3387,-82.8207,GAS,54538,73.292,211.934,135.692,119.75,412.4951,487.7969,377.4802,51.5474,91.6097
Yonah,34.6814,-83.3419,HYDRO,729,59.392,21.473002,70.20793,54.86294,24.147,35.296,60.14,56.49,62.791
Stevens Creek,33.5628,-82.0514,HYDRO,736,56.109,58.336,89.057,72.83793,56.347,68.245,97.962,94.51,77.422
Talbot County Energy,32.5892,-84.6917,GAS,7916,54.557,178.074,56.249,74.544,0,0,0,0,0
Terrora,34.7507,-83.4057,HYDRO,724,53.163,20.571001,57.26495,45.54593,25.586,33.332,52.083,52.691,54.701
Washington County,33.0917,-82.9803,GAS,55332,46.969,81.081,15.598,1.111,0,0,0,0,0
Lake Blackshear Project,31.8475,-83.9419,HYDRO,752,41.212,27.534001,47.68492,45.06094,29.482,35.57,51.625,58.921,49.401
Blue Ridge,34.8825,-84.2803,HYDRO,757,39.99,16.037,55.888,41.965,21.023,23.811,47.929,54.474,52.06
West Point,32.9187,-85.1886,HYDRO,6133,35.212,90.768001,181.77993,154.77296,104.261,89.723,264.358,234.562,220.764
Nottely,34.9594,-84.0903,HYDRO,758,32.183,12.179,52.513,25.926,13.389,20.808,40.388,36.299,42.169
McIntosh,32.3558,-81.1683,GAS,6124,30.953,737.494,975.841,1071.718,1304.634,1327.394,1597.738,984.373,798.175
Flint River,31.6028,-84.1376,HYDRO,706,30.68,22.269,24.69895,30.61194,24.395,27.692,24.604,36.747,35.602
Wallace Dam,33.3498,-83.1574,HYDRO,6087,27.169,-130.257,17.885,-48.993,442.047,414.185,518.512,383.999,391.71
Morgan Falls,33.9677,-84.3818,HYDRO,717,26.934,27.292,58.46795,44.42096,28.321,26.232,64.86,57.412,60.903
